[1] Temp = 20.12 °C, Humidity = 50.54 %, Pressure = 939.99 hPa
[2] Temp = 17.15 °C, Humidity = 50.54 %, Pressure = 939.99 hPa
[3] Temp = 33.49 °C, Humidity = 82.60 %, Pressure = 939.99 hPa
[4] Temp = 35.80 °C, Humidity = 82.60 %, Pressure = 916.60 hPa
[5] Temp = 36.69 °C, Humidity = 38.24 %, Pressure = 916.60 hPa
[6] Temp = 28.36 °C, Humidity = 38.24 %, Pressure = 916.60 hPa
[7] Temp = 18.41 °C, Humidity = 32.13 %, Pressure = 943.39 hPa
[8] Temp = 27.84 °C, Humidity = 32.13 %, Pressure = 943.39 hPa
[9] Temp = 35.93 °C, Humidity = 60.95 %, Pressure = 943.39 hPa
[10] Temp = 27.54 °C, Humidity = 60.95 %, Pressure = 1090.09 hPa
[11] Temp = 29.44 °C, Humidity = 50.91 %, Pressure = 1090.09 hPa
[12] Temp = 17.59 °C, Humidity = 50.91 %, Pressure = 1090.09 hPa
[13] Temp = 35.37 °C, Humidity = 97.04 %, Pressure = 989.63 hPa
[14] Temp = 18.12 °C, Humidity = 97.04 %, Pressure = 989.63 hPa
[15] Temp = 15.48 °C, Humidity = 57.92 %, Pressure = 989.63 hPa
[16] Temp = 22.15 °C, Humidity = 57.92 %, Pressure = 937.49 hPa
[17] Temp = 35.68 °C, Humidity = 98.84 %, Pressure = 937.49 hPa
[18] Temp = 20.81 °C, Humidity = 98.84 %, Pressure = 937.49 hPa
[19] Temp = 31.23 °C, Humidity = 84.64 %, Pressure = 942.05 hPa
[20] Temp = 33.28 °C, Humidity = 84.64 %, Pressure = 942.05 hPa
[21] Temp = 27.25 °C, Humidity = 97.25 %, Pressure = 942.05 hPa
[22] Temp = 17.43 °C, Humidity = 97.25 %, Pressure = 916.43 hPa
[23] Temp = 24.04 °C, Humidity = 32.82 %, Pressure = 916.43 hPa
[24] Temp = 35.67 °C, Humidity = 32.82 %, Pressure = 916.43 hPa
[25] Temp = 26.33 °C, Humidity = 30.84 %, Pressure = 1063.25 hPa
[26] Temp = 21.73 °C, Humidity = 30.84 %, Pressure = 1063.25 hPa
[27] Temp = 26.37 °C, Humidity = 43.01 %, Pressure = 1063.25 hPa
[28] Temp = 16.13 °C, Humidity = 43.01 %, Pressure = 1033.78 hPa
[29] Temp = 39.46 °C, Humidity = 72.89 %, Pressure = 1033.78 hPa
[30] Temp = 19.08 °C, Humidity = 72.89 %, Pressure = 1033.78 hPa
[31] Temp = 20.13 °C, Humidity = 44.68 %, Pressure = 1014.46 hPa
